地区,确诊人数,治愈人数,死亡人数,新增确诊,疑似病例
全国,17252,485,361,2752,21558
湖北,11177,295,350,2103
浙江,724,40,0,63
广东,683,14,0,51
河南,566,14,2,73
湖南,521,16,0,58
安徽,408,8,0,68
江西,391,18,0,59
重庆,300,8,2,25
江苏,271,7,0,35
四川,254,13,1,23
山东,246,6,0,16
上海,203,10,1,21
北京,191,9,1,
福建,179,0,0,20
陕西,128,0,0,12
广西,127,3,0,16
黑龙江,118,2,2,23
河北,113,3,1,9
云南,109,4,0,4
辽宁,73,1,0,3
海南,71,4,1,7
山西,66,2,0,10
天津,56,1,0,8
甘肃,51,3,0,11
贵州,46,2,0,8
内蒙古,34,1,0,7
吉林,31,1,0,8
宁夏,31,0,0,3
新疆,24,0,0,3
香港,15,0,0,1
青海,13,0,0,4
台湾,10,0,0,
澳门,8,0,0,
西藏,1,0,0,
日本,20,1,0,
泰国,19,7,0,
新加坡,18,0,0,
韩国,15,0,0,
澳大利亚,12,2,0,
美国,11,0,0,
德国,10,0,0,
马来西亚,8,0,0,
越南,7,0,0,
法国,6,0,0,
阿联酋,5,0,0,
加拿大,4,0,0,
菲律宾,2,0,1,
印度,2,0,0,
意大利,2,0,0,
英国,2,0,0,
俄罗斯,2,0,0,
尼泊尔,1,0,0,
斯里兰卡,1,1,0,
芬兰,1,0,0,
瑞典,1,0,0,
截至 2020-02-03 14:49:35
