地区,确诊人数,治愈人数,死亡人数,新增确诊,疑似病例
全国,31261,1684,637,3152,26359
湖北,22112,817,618,2447
武汉,11618,476,478,1501
广东,1034,88,1,90
浙江,1006,122,0,52
河南,914,84,3,63
湖南,772,112,0,61
安徽,665,47,0,74
江西,661,45,0,61
重庆,415,31,2,15
江苏,408,43,0,35
山东,386,37,0,39
四川,344,37,1,23
北京,297,33,1,23
上海,277,30,1,20
黑龙江,277,12,3,50
福建,224,15,0,9
陕西,184,17,0,11
广西,172,17,0,4
河北,171,16,1,14
云南,136,13,0,3
海南,117,10,2,10
辽宁,96,7,0,8
山西,96,15,0,6
天津,81,2,1,2
贵州,81,6,1,10
甘肃,67,9,0,5
吉林,65,4,1,6
内蒙古,50,5,0,4
宁夏,43,5,0,3
新疆,39,0,0,3
香港,25,0,1,1
青海,18,3,0,
台湾,16,1,0,
澳门,10,1,0,
西藏,1,0,0,
日本,86,1,0,
新加坡,33,2,0,
泰国,25,8,0,
韩国,24,2,0,
马来西亚,15,1,0,
澳大利亚,15,5,0,
德国,13,0,0,
美国,12,1,0,
越南,12,3,0,
法国,6,0,0,
加拿大,5,0,0,
阿联酋,5,0,0,
菲律宾,3,0,1,
英国,3,0,0,
印度,3,0,0,
俄罗斯,2,0,0,
意大利,2,0,0,
西班牙,1,0,0,
瑞典,1,0,0,
比利时,1,0,0,
柬埔寨,1,0,0,
芬兰,1,1,0,
尼泊尔,1,0,0,
截至 2020-02-07 21:47:50
