地区,确诊人数,治愈人数,死亡人数,新增确诊,疑似病例
全国,44732,4756,1114,2024,16067
湖北,33366,2639,1068,1638
武汉,19558,-,820,1104
广东,1219,241,1,42
河南,1135,231,8,30
浙江,1131,279,0,14
湖南,946,263,2,34
安徽,889,128,4,29
江西,844,152,1,40
江苏,543,94,0,28
重庆,505,79,3,19
山东,497,80,1,11
四川,436,85,1,19
黑龙江,378,28,8,18
北京,352,56,3,10
上海,306,53,1,4
福建,272,46,0,5
河北,251,48,2,12
陕西,225,36,0,6
广西,222,31,1,7
云南,154,20,0,5
海南,151,20,3,9
贵州,131,17,1,13
山西,124,30,0,2
辽宁,116,19,0,8
天津,107,10,2,12
甘肃,86,24,2,
吉林,83,18,1,2
内蒙古,60,5,0,2
新疆,59,3,0,4
宁夏,58,22,0,5
香港,49,0,1,
青海,18,5,0,0
台湾,18,1,0,
澳门,10,1,0,
西藏,1,0,0,
日本,161,1,0,
新加坡,47,9,0,
泰国,33,10,0,
韩国,28,3,0,
马来西亚,18,3,0,
德国,16,0,0,
越南,15,3,0,
澳大利亚,15,5,0,
美国,13,1,0,
法国,11,0,0,
英国,8,0,0,
阿联酋,8,1,0,
加拿大,7,0,0,
印度,3,0,0,
菲律宾,3,0,1,
意大利,3,0,0,
西班牙,2,0,0,
俄罗斯,2,0,0,
芬兰,1,1,0,
斯里兰卡,1,1,0,
瑞典,1,0,0,
柬埔寨,1,0,0,
尼泊尔,1,0,0,
比利时,1,0,0,
截至 2020-02-12 10:09:54 更新于3分钟前
