地区,确诊人数,治愈人数,死亡人数,新增确诊,疑似病例
全国,42744,4043,1017,2509,21675
湖北,31728,2222,974,2097
武汉,18454,-,748,1552
广东,1177,181,1,26
浙江,1117,250,0,25
河南,1105,198,7,32
湖南,912,213,1,33
安徽,860,108,4,30
江西,804,127,1,32
江苏,515,84,0,23
重庆,489,72,2,21
山东,487,75,1,28
四川,417,82,1,12
黑龙江,360,27,8,29
北京,342,48,3,5
上海,303,53,1,8
福建,267,39,0,6
河北,239,41,2,21
陕西,219,31,0,6
广西,215,30,1,5
云南,153,20,0,12
海南,142,19,3,6
贵州,127,13,1,18
山西,122,26,0,3
辽宁,111,18,0,3
天津,104,8,2,13
甘肃,86,21,2,3
吉林,81,13,1,1
内蒙古,58,5,0,0
新疆,55,0,0,6
宁夏,53,14,0,4
香港,49,0,1,13
台湾,18,1,0,
青海,18,3,0,0
澳门,10,1,0,
西藏,1,0,0,0
日本,161,1,0,
新加坡,45,7,0,
泰国,33,10,0,
韩国,28,3,0,
马来西亚,18,3,0,
越南,15,3,0,
澳大利亚,15,5,0,
德国,14,0,0,
美国,13,1,0,
法国,11,0,0,
英国,8,0,0,
阿联酋,8,1,0,
加拿大,7,0,0,
印度,3,0,0,
菲律宾,3,0,1,
意大利,3,0,0,
西班牙,2,0,0,
俄罗斯,2,0,0,
比利时,1,0,0,
斯里兰卡,1,1,0,
瑞典,1,0,0,
柬埔寨,1,0,0,
尼泊尔,1,0,0,
芬兰,1,1,0,
截至 2020-02-11 18:34:15 更新于1小时32分钟前
