地区,确诊人数,治愈人数,死亡人数,新增确诊,疑似病例
全国,37252,2755,813,2654,28942
湖北,27100,1447,780,2147
武汉,14982,877,608,1379
广东,1120,127,1,45
浙江,1075,187,0,27
河南,1033,137,6,53
湖南,838,170,1,35
安徽,779,72,1,46
江西,740,72,0,42
江苏,468,70,0,29
重庆,446,48,2,18
山东,435,50,1,19
四川,386,62,1,23
北京,326,37,2,11
黑龙江,307,14,6,22
上海,293,44,1,7
福建,250,28,0,11
陕西,208,25,0,13
河北,206,30,2,11
广西,195,18,1,12
云南,140,18,0,2
海南,128,15,3,5
山西,115,21,0,11
辽宁,105,8,0,
贵州,96,7,1,7
天津,90,4,1,9
甘肃,79,14,1,0
吉林,78,7,1,9
内蒙古,54,5,0,2
宁夏,45,13,0,1
新疆,45,0,0,3
香港,26,0,1,
青海,18,3,0,0
台湾,17,1,0,
澳门,10,1,0,
西藏,1,0,0,
日本,89,1,0,
新加坡,40,2,0,
泰国,32,8,0,
韩国,25,3,0,
马来西亚,16,2,0,
澳大利亚,15,5,0,
越南,14,3,0,
德国,13,0,0,
美国,12,1,0,
法国,11,0,0,
阿联酋,7,0,0,
加拿大,7,0,0,
英国,3,0,0,
印度,3,0,0,
意大利,3,0,0,
菲律宾,3,0,1,
俄罗斯,2,0,0,
芬兰,1,1,0,
斯里兰卡,1,1,0,
西班牙,1,0,0,
瑞典,1,0,0,
柬埔寨,1,0,0,
尼泊尔,1,0,0,
比利时,1,0,0,
截至 2020-02-09 14:53:31 更新于15分钟前
