地区,确诊人数,治愈人数,死亡人数,新增确诊,疑似病例
全国,7783,129,170,1686,12167
湖北,4586,90,162,1032,
浙江,428,4,0,132,
广东,311,7,0,39,
河南,278,2,2,72,
湖南,277,2,0,56,
安徽,200,2,0,48,
重庆,182,1,0,28,
江西,162,4,0,53,
山东,158,1,0,28,
四川,142,1,1,34,
江苏,129,0,0,30,
北京,114,4,1,3,
上海,112,5,1,16,
福建,101,0,0,17,
广西,78,2,0,20,
云南,70,0,0,15,
河北,65,0,1,17,
陕西,63,0,0,7,
海南,46,1,1,3,
黑龙江,43,0,1,5,
辽宁,41,1,0,2,
山西,35,1,0,8,
天津,29,0,0,2,
甘肃,26,0,0,2,
内蒙古,18,0,0,2,
宁夏,17,0,0,5,
吉林,14,1,0,5,
新疆,14,0,0,1,
贵州,12,1,0,3,
香港,10,0,0,-,
台湾,8,0,0,-,
澳门,7,0,0,-,
青海,6,0,0,-,
西藏,1,0,0,1,
泰国,14,2,0,,
日本,11,1,0,,
新加坡,10,0,0,,
马来西亚,8,0,0,,
澳大利亚,7,2,0,,
美国,5,0,0,,
法国,5,0,0,,
韩国,4,0,0,,
德国,4,0,0,,
阿联酋,4,0,0,,
加拿大,3,0,0,,
越南,2,0,0,,
尼泊尔,1,0,0,,
斯里兰卡,1,0,0,,
