地区,确诊人数,治愈人数,死亡人数,新增确诊,疑似病例
全国,31211,1542,637,3058,26359
湖北,22112,817,618,2447,
武汉,11618,476,478,1501,
广东,1018,68,1,74,
浙江,1006,98,0,52,
河南,914,68,3,63,
湖南,772,91,0,61,
安徽,665,34,0,74,
江西,661,45,0,61,
重庆,411,24,2,11,
江苏,408,38,0,35,
山东,379,31,0,32,
四川,344,37,1,23,
黑龙江,277,8,3,50,
北京,274,38,1,,
上海,269,25,1,12,
福建,215,14,0,,
陕西,173,9,0,,
广西,172,17,0,4,
河北,171,16,1,14,
云南,135,7,0,7,
海南,114,8,2,8,
山西,96,12,0,6,
辽宁,94,5,0,,
天津,79,2,1,1,
贵州,77,6,1,6,
甘肃,67,9,0,5,
吉林,65,4,1,6,
内蒙古,46,4,0,,
宁夏,43,1,0,3,
新疆,39,0,0,3,
香港,24,0,1,,
青海,18,3,0,,
台湾,16,1,0,,
澳门,10,1,0,,
西藏,1,0,0,,
日本,45,1,0,,
新加坡,30,1,0,,
泰国,25,8,0,,
韩国,24,2,0,,
澳大利亚,15,5,0,,
马来西亚,14,1,0,,
德国,13,0,0,,
美国,12,1,0,,
越南,12,3,0,,
法国,6,0,0,,
加拿大,5,0,0,,
阿联酋,5,0,0,,
菲律宾,3,0,1,,
英国,3,0,0,,
印度,3,0,0,,
俄罗斯,2,0,0,,
意大利,2,0,0,,
西班牙,1,0,0,,
斯里兰卡,1,1,0,,
比利时,1,0,0,,
柬埔寨,1,0,0,,
芬兰,1,1,0,,
尼泊尔,1,0,0,,
截至 2020-02-07 09:23:44,,,,,
