地区,确诊人数,治愈人数,死亡人数,疑似病例
全国,4599,68,106,6973
湖北,2714,47,100,
广东,188,4,0,
浙江,173,3,0,
河南,168,0,1,
湖南,143,0,0,
重庆,132,0,0,
安徽,106,0,0,
山东,95,1,0,
北京,91,2,1,
四川,90,0,0,
福建,73,0,0,
江西,72,4,0,
江苏,70,1,0,
上海,66,4,1,
广西,51,1,0,
陕西,46,0,0,
云南,44,0,0,
海南,40,0,1,
河北,33,0,1,
辽宁,30,0,0,
黑龙江,30,0,1,
天津,24,0,0,
山西,20,0,0,
甘肃,19,0,0,
内蒙古,15,0,0,
宁夏,11,0,0,
新疆,10,0,0,
贵州,9,0,0,
吉林,8,0,0,
青海,6,0,0,
香港,8,0,0,
台湾,7,0,0,
